iter	RMSE
0	1.423051801
1	1.409544477
2	1.396067786
3	1.381315582
4	1.369885212
5	1.356116075
6	1.341471845
7	1.329009361
8	1.319551622
9	1.309873748
10	1.297648056
11	1.28585761
12	1.273192668
13	1.263288166
14	1.254133121
15	1.243432723
16	1.234308831
17	1.223754669
18	1.214065737
19	1.205345335
20	1.196301219
21	1.188684539
22	1.179069914
23	1.171948528
24	1.166472758
25	1.157751867
26	1.149608933
27	1.13988615
28	1.134671146
29	1.127837753
30	1.119595473
31	1.111314201
32	1.103945133
33	1.097944984
34	1.095012597
35	1.089439933
36	1.083354462
37	1.077004909
38	1.072074215
39	1.065327736
40	1.060104337
41	1.054232735
42	1.048541393
43	1.045473659
44	1.041644092
45	1.038319654
46	1.033076458
47	1.028105879
48	1.021918808
49	1.01688491
50	1.010626105
51	1.005331433
52	1.001583214
53	0.9966738216
54	0.9912860962
55	0.9852682914
56	0.9816514254
57	0.9784639783
58	0.9749855067
59	0.9712473991
60	0.9666374177
61	0.9633923876
62	0.9598491084
63	0.9573024699
64	0.9542173915
65	0.9515154445
66	0.9494422999
67	0.9458890577
68	0.9414948688
69	0.9382694193
70	0.9344665619
71	0.9330202819
72	0.9302369116
73	0.9272001642
74	0.9239704464
75	0.9220793849
76	0.9181846647
77	0.9157271954
78	0.9132445575
79	0.9103959267
80	0.9083692107
81	0.9055887524
82	0.9025970372
83	0.9011097486
84	0.8998070608
85	0.896948731
86	0.8942076593
87	0.889928238
88	0.8874342225
89	0.8854736405
90	0.8833727854
91	0.879934483
92	0.8777653164
93	0.8766998511
94	0.874757352
95	0.8728192798
96	0.870275753
97	0.8681839604
98	0.8668726462
99	0.863929178
