iter	Passed	Remaining
0	66	6625
1	68	3343
2	69	2232
3	69	1673
4	70	1343
5	71	1122
6	72	964
7	73	845
8	74	748
9	74	673
10	75	612
11	76	561
12	77	518
13	78	480
14	79	448
15	79	419
16	80	393
17	81	370
18	82	350
19	82	331
20	83	314
21	84	299
22	85	285
23	85	272
24	86	259
25	87	248
26	87	237
27	88	227
28	89	218
29	90	210
30	90	202
31	91	194
32	92	188
33	93	181
34	93	174
35	94	168
36	95	162
37	96	156
38	96	151
39	97	146
40	98	141
41	99	137
42	100	132
43	100	128
44	101	123
45	101	119
46	102	115
47	102	111
48	103	107
49	104	104
50	105	100
51	105	97
52	106	94
53	107	91
54	108	88
55	108	85
56	109	82
57	110	79
58	111	77
59	111	74
60	112	72
61	113	69
62	114	67
63	114	64
64	115	62
65	116	59
66	116	57
67	117	55
68	118	53
69	119	51
70	119	49
71	120	46
72	121	44
73	122	42
74	123	41
75	123	39
76	124	37
77	125	35
78	126	33
79	126	31
80	127	29
81	128	28
82	129	26
83	129	24
84	130	23
85	131	21
86	131	19
87	132	18
88	133	16
89	134	14
90	135	13
91	135	11
92	136	10
93	137	8
94	138	7
95	139	5
96	139	4
97	140	2
98	141	1
99	141	0
